ID,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,Sport
262788,8/1/2020,6/1/2024,Varsity,ABSA,3.84,Baseball
267066,9/1/2023,,Varsity,ABSA,,Baseball
291097,9/1/2023,,Member,ABSA,,Baseball
295843,9/1/2021,1/1/2023,Member,ABSA,1.33,Baseball
300323,8/1/2017,5/1/2019,Varsity,ABSA,1.75,Baseball
300441,9/1/2023,12/1/2024,Member,ABSA,1.25,Baseball
305098,8/1/2017,5/1/2022,Varsity,ABSA,4.75,Baseball
306922,9/1/2019,6/1/2023,Varsity,ABSA,3.75,Baseball
312138,8/1/2018,5/1/2022,Varsity,ABSA,3.75,Baseball
366911,1/20/2015,5/1/2019,Varsity,ABSA,4.28,Baseball
367277,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
367451,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
367658,8/1/2016,5/1/2020,Varsity,ABSA,3.75,Baseball
371379,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
371397,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
371713,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
371926,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
374571,8/1/2015,5/1/2019,Varsity,ABSA,3.75,Baseball
375014,8/1/2016,5/1/2019,Member,ABSA,2.75,Baseball
375884,8/1/2016,1/1/2020,Member,ABSA,3.42,Baseball
378631,8/1/2016,5/1/2020,Varsity,ABSA,3.75,Baseball
382822,8/1/2017,6/1/2021,Varsity,ABSA,3.84,Baseball
382956,8/1/2017,6/1/2021,Varsity,ABSA,3.84,Baseball
383179,8/1/2017,1/1/2021,Member,ABSA,3.42,Baseball
383629,8/1/2017,5/1/2020,Varsity,ABSA,2.75,Baseball
383724,8/1/2017,1/1/2019,Member,ABSA,1.42,Baseball
384286,8/1/2017,5/1/2019,Varsity,ABSA,1.75,Baseball
384294,8/1/2017,5/1/2019,Varsity,ABSA,1.75,Baseball
384573,8/1/2017,1/1/2020,Member,ABSA,2.42,Baseball
384697,8/1/2017,5/1/2019,Member,ABSA,1.75,Baseball
385145,8/1/2017,1/1/2020,Member,ABSA,2.42,Baseball
385456,8/1/2017,5/1/2022,Varsity,ABSA,4.75,Baseball
386232,8/1/2017,6/1/2021,Varsity,ABSA,3.84,Baseball
386909,8/1/2017,5/1/2019,Member,ABSA,1.75,Baseball
387404,2/1/2017,5/1/2019,Member,ABSA,2.24,Baseball
387719,2/1/2017,1/1/2020,Member,ABSA,2.92,Baseball
388582,8/1/2017,5/1/2019,Varsity,ABSA,1.75,Baseball
392220,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
392246,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
392264,8/1/2018,1/1/2020,Member,ABSA,1.42,Baseball
392993,8/1/2018,5/1/2019,Varsity,ABSA,0.75,Baseball
393020,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
393295,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
393889,8/1/2018,1/1/2019,Member,ABSA,0.42,Baseball
394089,8/1/2018,5/1/2022,Varsity,ABSA,3.75,Baseball
394228,8/1/2018,6/1/2021,Varsity,ABSA,2.84,Baseball
394618,8/1/2018,6/1/2023,Varsity,ABSA,4.84,Baseball
395154,8/1/2018,5/1/2019,Varsity,ABSA,0.75,Baseball
395545,8/1/2018,6/1/2023,Varsity,ABSA,4.84,Baseball
395559,8/1/2018,5/1/2019,Varsity,ABSA,0.75,Baseball
396261,8/1/2018,5/1/2019,Member,ABSA,0.75,Baseball
396354,8/1/2018,5/1/2022,Varsity,ABSA,3.75,Baseball
396910,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
398288,8/1/2018,5/1/2019,Varsity,ABSA,0.75,Baseball
398633,8/1/2018,5/1/2021,Member,ABSA,2.75,Baseball
401284,8/1/2018,5/12/2021,Varsity,ABSA,2.78,Baseball
402800,8/1/2018,5/1/2021,Varsity,ABSA,2.75,Baseball
402806,8/1/2018,11/1/2021,Varsity,ABSA,3.25,Baseball
403259,8/1/2018,6/1/2021,Varsity,ABSA,2.84,Baseball
405206,9/1/2019,6/1/2023,Varsity,ABSA,3.75,Baseball
405254,9/1/2019,9/7/2020,Member,ABSA,1.02,Baseball
405260,1/18/2021,6/1/2023,Member,ABSA,2.37,Baseball
405269,9/1/2019,6/1/2024,Varsity,ABSA,4.75,Baseball
405290,9/1/2019,6/1/2023,Member,ABSA,3.75,Baseball
405325,9/1/2019,9/20/2019,Member,ABSA,0.05,Baseball
405395,9/1/2019,1/1/2022,Varsity,ABSA,2.34,Baseball
405440,9/1/2019,5/1/2021,Member,ABSA,1.67,Baseball
405503,9/1/2019,1/1/2022,Member,ABSA,2.34,Baseball
406271,9/1/2019,6/1/2024,Varsity,ABSA,4.75,Baseball
406876,9/1/2019,6/1/2023,Varsity,ABSA,3.75,Baseball
407787,9/1/2019,3/12/2024,Member,ABSA,4.53,Baseball
408264,9/1/2019,6/1/2024,Varsity,ABSA,4.75,Baseball
408517,9/1/2019,6/1/2023,Varsity,ABSA,3.75,Baseball
408638,9/1/2019,6/1/2023,Member,ABSA,3.75,Baseball
408833,9/1/2019,12/1/2020,Member,ABSA,1.25,Baseball
408873,9/1/2019,1/1/2024,Member,ABSA,4.34,Baseball
408979,9/1/2019,5/1/2020,Member,ABSA,0.67,Baseball
409296,9/1/2019,6/1/2024,Varsity,ABSA,4.75,Baseball
409578,9/1/2019,12/1/2020,Member,ABSA,1.25,Baseball
410248,9/1/2019,12/1/2020,Member,ABSA,1.25,Baseball
410498,9/1/2019,5/1/2022,Member,ABSA,2.67,Baseball
410879,9/1/2019,6/1/2023,Member,ABSA,3.75,Baseball
410920,9/1/2019,5/1/2020,Member,ABSA,0.67,Baseball
412563,9/1/2019,6/1/2023,Varsity,ABSA,3.75,Baseball
416216,9/1/2019,5/1/2022,Varsity,ABSA,2.67,Baseball
416677,1/1/2020,6/1/2023,Varsity,ABSA,3.42,Baseball
418885,9/1/2019,5/1/2020,Varsity,ABSA,0.67,Baseball
419091,9/1/2019,5/1/2021,Member,ABSA,1.67,Baseball
419093,9/1/2019,12/1/2021,Member,ABSA,2.25,Baseball
419180,9/1/2019,5/1/2022,Varsity,ABSA,2.67,Baseball
419904,9/1/2019,6/1/2023,Member,ABSA,3.75,Baseball
420814,8/1/2020,5/1/2022,Member,ABSA,1.75,Baseball
420951,8/1/2020,12/1/2022,Member,ABSA,2.33,Baseball
422442,1/1/2020,5/1/2020,Member,ABSA,0.33,Baseball
423546,8/1/2020,5/1/2021,Member,ABSA,0.75,Baseball
424856,8/1/2020,5/1/2021,Member,ABSA,0.75,Baseball
424937,8/1/2020,5/1/2021,Member,ABSA,0.75,Baseball
425031,8/1/2020,6/1/2024,Member,ABSA,3.84,Baseball
425246,8/1/2020,5/1/2022,Member,ABSA,1.75,Baseball
425647,8/1/2020,6/1/2024,Varsity,ABSA,3.84,Baseball
425718,8/1/2020,5/1/2022,Varsity,ABSA,1.75,Baseball
426977,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
427496,8/1/2020,5/1/2021,Varsity,ABSA,0.75,Baseball
427766,8/1/2020,,Varsity,ABSA,,Baseball
429707,9/1/2021,1/11/2022,Member,ABSA,0.36,Baseball
430069,8/1/2020,6/1/2023,Member,ABSA,2.83,Baseball
430363,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
430470,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
430809,8/1/2020,6/1/2023,Varsity,ABSA,2.83,Baseball
431159,8/1/2020,6/1/2024,Member,ABSA,3.84,Baseball
433896,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
434587,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
434663,8/1/2020,6/1/2024,Varsity,ABSA,3.84,Baseball
434935,8/1/2020,6/1/2023,Varsity,ABSA,2.83,Baseball
435303,8/1/2020,6/1/2023,Member,ABSA,2.83,Baseball
437464,8/1/2020,5/1/2022,Member,ABSA,1.75,Baseball
437744,8/1/2020,12/1/2020,Member,ABSA,0.33,Baseball
437976,8/1/2020,5/1/2021,Varsity,ABSA,0.75,Baseball
438597,8/1/2020,6/1/2023,Member,ABSA,2.83,Baseball
438879,8/1/2020,10/1/2020,Member,ABSA,0.17,Baseball
442501,9/1/2021,6/1/2023,Member,ABSA,1.75,Baseball
443669,9/1/2021,5/1/2024,Member,ABSA,2.67,Baseball
444451,9/1/2021,,Varsity,ABSA,,Baseball
444730,9/1/2021,5/1/2022,Varsity,ABSA,0.66,Baseball
444783,1/18/2021,5/1/2021,Varsity,ABSA,0.28,Baseball
445644,9/1/2021,,Varsity,ABSA,,Baseball
446072,9/1/2021,,Member,ABSA,,Baseball
446097,9/1/2021,,Member,ABSA,,Baseball
446376,9/1/2021,,Member,ABSA,,Baseball
446537,9/1/2021,5/1/2022,Member,ABSA,0.66,Baseball
446654,9/1/2021,,Varsity,ABSA,,Baseball
446672,9/1/2021,,Member,ABSA,,Baseball
447285,9/1/2021,5/1/2022,Member,ABSA,0.66,Baseball
448811,9/1/2021,12/1/2022,Member,ABSA,1.25,Baseball
451669,9/1/2021,5/1/2022,Member,ABSA,0.66,Baseball
454241,9/1/2021,5/1/2022,Varsity,ABSA,0.66,Baseball
454319,9/1/2022,3/1/2023,Member,ABSA,0.50,Baseball
454599,9/1/2021,5/1/2022,Varsity,ABSA,0.66,Baseball
455144,9/1/2021,6/1/2024,Varsity,ABSA,2.75,Baseball
455250,9/1/2021,6/1/2023,Member,ABSA,1.75,Baseball
455409,9/1/2021,6/1/2023,Member,ABSA,1.75,Baseball
456492,9/1/2022,,Varsity,ABSA,,Baseball
457113,9/1/2022,12/15/2023,Member,ABSA,1.29,Baseball
457280,9/1/2022,,Member,ABSA,,Baseball
457636,1/1/2022,5/1/2022,Member,ABSA,0.33,Baseball
458402,9/1/2022,5/1/2023,Member,ABSA,0.66,Baseball
459556,9/1/2024,,Member,ABSA,,Baseball
459610,9/1/2022,5/1/2023,Member,ABSA,0.66,Baseball
459840,9/1/2022,,Member,ABSA,,Baseball
459896,9/1/2022,,Member,ABSA,,Baseball
460380,9/1/2022,,Varsity,ABSA,,Baseball
460941,9/1/2022,12/15/2023,Varsity,ABSA,1.29,Baseball
461128,9/1/2022,6/1/2024,Member,ABSA,1.75,Baseball
461221,9/1/2022,5/1/2024,Varsity,ABSA,1.67,Baseball
462267,9/1/2023,,Member,ABSA,,Baseball
462558,9/1/2022,12/1/2024,Member,ABSA,2.25,Baseball
462638,9/1/2022,5/1/2023,Member,ABSA,0.66,Baseball
462788,9/1/2022,,Member,ABSA,,Baseball
462839,9/1/2022,,Varsity,ABSA,,Baseball
464193,9/1/2022,5/1/2024,Member,ABSA,1.67,Baseball
464196,9/1/2022,,Varsity,ABSA,,Baseball
465078,9/1/2022,12/1/2024,Member,ABSA,2.25,Baseball
470452,9/1/2022,5/1/2024,Member,ABSA,1.67,Baseball
471345,9/1/2022,12/1/2024,Member,ABSA,2.25,Baseball
471622,9/1/2022,12/15/2023,Member,ABSA,1.29,Baseball
472938,9/1/2023,,Varsity,ABSA,,Baseball
472977,9/1/2023,1/1/2024,Member,ABSA,0.33,Baseball
472985,9/1/2023,,Varsity,ABSA,,Baseball
473247,9/1/2023,1/1/2024,Member,ABSA,0.33,Baseball
473303,9/1/2023,,Varsity,ABSA,,Baseball
474254,9/1/2023,,Varsity,ABSA,,Baseball
475548,9/1/2023,5/1/2024,Member,ABSA,0.67,Baseball
475583,9/1/2023,,Member,ABSA,,Baseball
476180,1/1/2023,12/1/2024,Member,ABSA,1.92,Baseball
476412,1/1/2023,12/1/2024,Varsity,ABSA,1.92,Baseball
476413,1/1/2023,,Member,ABSA,,Baseball
476511,9/1/2023,5/1/2024,Member,ABSA,0.67,Baseball
476818,9/1/2023,12/1/2024,Member,ABSA,1.25,Baseball
477185,9/1/2023,12/15/2023,Member,ABSA,0.29,Baseball
479012,2/1/2023,5/1/2024,Varsity,ABSA,1.25,Baseball
480970,9/1/2023,,Member,ABSA,,Baseball
482457,9/1/2023,12/1/2024,Member,ABSA,1.25,Baseball
482874,9/1/2023,,Member,ABSA,,Baseball
484480,9/1/2023,,Member,ABSA,,Baseball
485619,9/1/2023,5/1/2024,Member,ABSA,0.67,Baseball
486521,9/1/2023,12/15/2023,Member,ABSA,0.29,Baseball
486637,9/1/2023,,Varsity,ABSA,,Baseball
487000,9/1/2023,,Varsity,ABSA,,Baseball
487126,9/1/2023,,Varsity,ABSA,,Baseball
487273,9/1/2023,,Member,ABSA,,Baseball
487401,9/1/2023,5/1/2024,Varsity,ABSA,0.67,Baseball
487574,9/1/2023,,Varsity,ABSA,,Baseball
487774,9/1/2023,12/1/2024,Varsity,ABSA,1.25,Baseball
487963,9/1/2023,10/30/2023,Member,ABSA,0.16,Baseball
488447,9/1/2023,,Varsity,ABSA,,Baseball
489321,9/1/2024,,Member,ABSA,,Baseball
489535,9/1/2024,,Member,ABSA,,Baseball
490516,9/1/2024,,Member,ABSA,,Baseball
491042,9/1/2024,,Member,ABSA,,Baseball
491139,9/1/2024,,Member,ABSA,,Baseball
491984,9/1/2024,,Member,ABSA,,Baseball
492736,9/1/2024,,Member,ABSA,,Baseball
493270,9/1/2024,,Member,ABSA,,Baseball
493845,1/1/2025,,Member,ABSA,,Baseball
494191,9/1/2024,,Member,ABSA,,Baseball
494510,9/1/2024,,Member,ABSA,,Baseball
494569,9/1/2024,,Member,ABSA,,Baseball
495131,9/1/2024,,Member,ABSA,,Baseball
495794,9/1/2024,,Member,ABSA,,Baseball
497155,9/1/2024,,Member,ABSA,,Baseball
498925,9/1/2024,,Member,ABSA,,Baseball
499815,1/1/2025,,Member,ABSA,,Baseball
500661,9/1/2024,12/1/2024,Member,ABSA,0.25,Baseball
502837,9/1/2024,12/1/2024,Member,ABSA,0.25,Baseball
504870,9/1/2024,,Member,ABSA,,Baseball
505241,9/1/2024,,Member,ABSA,,Baseball
506175,9/1/2024,,Member,ABSA,,Baseball
506406,9/1/2024,,Member,ABSA,,Baseball
506552,9/1/2024,,Member,ABSA,,Baseball
506567,9/1/2024,,Member,ABSA,,Baseball
506569,9/1/2024,,Member,ABSA,,Baseball
506605,1/13/2025,,Member,ABSA,,Baseball
507129,9/1/2024,12/1/2024,Member,ABSA,0.25,Baseball
507700,9/1/2024,11/1/2024,Member,ABSA,0.17,Baseball
508035,9/1/2024,,Member,ABSA,,Baseball
508397,9/1/2024,,Member,ABSA,,Baseball
517374,1/15/2025,,Member,ABSA,,Baseball
275176,9/1/2024,,Member,ACHE,,Cheerleading
280131,9/1/2019,6/1/2021,Varsity,ACHE,1.75,Cheerleading
367872,9/1/2015,5/1/2019,Varsity,ACHE,3.67,Cheerleading
367978,9/1/2015,5/1/2019,Varsity,ACHE,3.67,Cheerleading
374937,8/1/2016,5/1/2019,Varsity,ACHE,2.75,Cheerleading
375268,8/1/2016,5/1/2020,Varsity,ACHE,3.75,Cheerleading
375743,8/1/2016,5/1/2020,Varsity,ACHE,3.75,Cheerleading
376841,8/1/2016,5/1/2020,Varsity,ACHE,3.75,Cheerleading
380324,8/1/2016,5/1/2019,Varsity,ACHE,2.75,Cheerleading
384007,9/1/2017,6/1/2021,Varsity,ACHE,3.75,Cheerleading
385182,9/1/2017,12/1/2020,Varsity,ACHE,3.25,Cheerleading
392226,2/1/2021,5/1/2022,Varsity,ACHE,1.24,Cheerleading
392650,9/1/2019,5/1/2020,Member,ACHE,0.67,Cheerleading
392852,5/1/2018,5/1/2019,Member,ACHE,1.00,Cheerleading
393460,5/1/2018,12/1/2019,Varsity,ACHE,1.59,Cheerleading
393841,8/1/2018,5/1/2020,Member,ACHE,1.75,Cheerleading
396612,8/1/2018,5/1/2019,Varsity,ACHE,0.75,Cheerleading
400357,9/1/2021,12/1/2021,Member,ACHE,0.25,Cheerleading
400819,8/1/2018,5/1/2022,Varsity,ACHE,3.75,Cheerleading
405240,12/1/2020,6/1/2021,Member,ACHE,0.50,Cheerleading
406358,9/1/2019,6/1/2023,Varsity,ACHE,3.75,Cheerleading
407936,9/1/2019,5/1/2024,Varsity,ACHE,4.67,Cheerleading
