ID,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,
262788,8/1/2020,6/1/2024,Varsity,ABSA,3.835616438,#N/A
267066,9/1/2023,,Varsity,ABSA,-123.7534247,
291097,9/1/2023,,Member,ABSA,-123.7534247,
295843,9/1/2021,1/1/2023,Member,ABSA,1.334246575,
300323,8/1/2017,5/1/2019,Varsity,ABSA,1.747945205,
300441,9/1/2023,12/1/2024,Member,ABSA,1.252054795,
305098,8/1/2017,5/1/2022,Varsity,ABSA,4.750684932,
306922,9/1/2019,6/1/2023,Varsity,ABSA,3.750684932,
312138,8/1/2018,5/1/2022,Varsity,ABSA,3.750684932,
366911,1/20/2015,5/1/2019,Varsity,ABSA,4.279452055,
367277,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
367451,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
367658,8/1/2016,5/1/2020,Varsity,ABSA,3.750684932,
371379,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
371397,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
371713,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
371926,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
374571,8/1/2015,5/1/2019,Varsity,ABSA,3.750684932,
375014,8/1/2016,5/1/2019,Member,ABSA,2.747945205,
375884,8/1/2016,1/1/2020,Member,ABSA,3.419178082,
378631,8/1/2016,5/1/2020,Varsity,ABSA,3.750684932,
382822,8/1/2017,6/1/2021,Varsity,ABSA,3.835616438,
382956,8/1/2017,6/1/2021,Varsity,ABSA,3.835616438,
383179,8/1/2017,1/1/2021,Member,ABSA,3.421917808,
383629,8/1/2017,5/1/2020,Varsity,ABSA,2.750684932,
383724,8/1/2017,1/1/2019,Member,ABSA,1.419178082,
384286,8/1/2017,5/1/2019,Varsity,ABSA,1.747945205,
384294,8/1/2017,5/1/2019,Varsity,ABSA,1.747945205,
384573,8/1/2017,1/1/2020,Member,ABSA,2.419178082,
384697,8/1/2017,5/1/2019,Member,ABSA,1.747945205,
385145,8/1/2017,1/1/2020,Member,ABSA,2.419178082,
385456,8/1/2017,5/1/2022,Varsity,ABSA,4.750684932,
386232,8/1/2017,6/1/2021,Varsity,ABSA,3.835616438,
386909,8/1/2017,5/1/2019,Member,ABSA,1.747945205,
387404,2/1/2017,5/1/2019,Member,ABSA,2.243835616,
387719,2/1/2017,1/1/2020,Member,ABSA,2.915068493,
388582,8/1/2017,5/1/2019,Varsity,ABSA,1.747945205,
392220,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
392246,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
392264,8/1/2018,1/1/2020,Member,ABSA,1.419178082,
392993,8/1/2018,5/1/2019,Varsity,ABSA,0.7479452055,
393020,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
393295,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
393889,8/1/2018,1/1/2019,Member,ABSA,0.4191780822,
394089,8/1/2018,5/1/2022,Varsity,ABSA,3.750684932,
394228,8/1/2018,6/1/2021,Varsity,ABSA,2.835616438,
394618,8/1/2018,6/1/2023,Varsity,ABSA,4.835616438,
395154,8/1/2018,5/1/2019,Varsity,ABSA,0.7479452055,
395545,8/1/2018,6/1/2023,Varsity,ABSA,4.835616438,
395559,8/1/2018,5/1/2019,Varsity,ABSA,0.7479452055,
396261,8/1/2018,5/1/2019,Member,ABSA,0.7479452055,
396354,8/1/2018,5/1/2022,Varsity,ABSA,3.750684932,
396910,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
398288,8/1/2018,5/1/2019,Varsity,ABSA,0.7479452055,
398633,8/1/2018,5/1/2021,Member,ABSA,2.750684932,
401284,8/1/2018,5/12/2021,Varsity,ABSA,2.780821918,
402800,8/1/2018,5/1/2021,Varsity,ABSA,2.750684932,
402806,8/1/2018,11/1/2021,Varsity,ABSA,3.254794521,
403259,8/1/2018,6/1/2021,Varsity,ABSA,2.835616438,
405206,9/1/2019,6/1/2023,Varsity,ABSA,3.750684932,
405254,9/1/2019,9/7/2020,Member,ABSA,1.019178082,
405260,1/18/2021,6/1/2023,Member,ABSA,2.367123288,
405269,9/1/2019,6/1/2024,Varsity,ABSA,4.753424658,
405290,9/1/2019,6/1/2023,Member,ABSA,3.750684932,
405325,9/1/2019,9/20/2019,Member,ABSA,0.05205479452,
405395,9/1/2019,1/1/2022,Varsity,ABSA,2.336986301,
405440,9/1/2019,5/1/2021,Member,ABSA,1.665753425,
405503,9/1/2019,1/1/2022,Member,ABSA,2.336986301,
406271,9/1/2019,6/1/2024,Varsity,ABSA,4.753424658,
406876,9/1/2019,6/1/2023,Varsity,ABSA,3.750684932,
407787,9/1/2019,3/12/2024,Member,ABSA,4.531506849,
408264,9/1/2019,6/1/2024,Varsity,ABSA,4.753424658,
408517,9/1/2019,6/1/2023,Varsity,ABSA,3.750684932,
408638,9/1/2019,6/1/2023,Member,ABSA,3.750684932,
408833,9/1/2019,12/1/2020,Member,ABSA,1.252054795,
