ID,FINE_ART_Scholarship _19/FAL,CLASS_19/FAL,ALTCUM_GPA_19_FAL,FINE_ARTS_Scholarship _19/FAL,MAJOR_FIXED_19/FAL,RETURN_BIN_19/FAL,Role_19/FAL,SPORT_19/FAL,Sport_19/FAL,FINE_ART_Scholarship _20/SPR,CLASS_20/SPR,ALTCUM_GPA_20/SPR,FINE_ARTS_Scholarship _20/SPR,MAJOR_FIXED_20/SPR,RETURN_BIN_20/SPR,Role_20/SPR,SPORT_20/SPR,Sport_20/SPR,FINE_ART_Scholarship _20/FAL,CLASS_20/FAL,ALTCUM_GPA_20/FAL,FINE_ARTS_Scholarship _20/FAL,MAJOR_FIXED_20/FAL,RETURN_BIN_20/FAL,Role_20/FAL,SPORT_20/FAL,Sport_20/FAL,FINE_ART_Scholarship _21/SPR,CLASS_21/SPR,ALTCUM_GPA_21/SPR,FINE_ARTS_Scholarship _21/SPR,MAJOR_FIXED_21/SPR,RETURN_BIN_21/SPR,Role_21/SPR,SPORT_21/SPR,Sport_21/SPR,FINE_ART_Scholarship _21/FAL,CLASS_21/FAL,ALTCUM_GPA_21/FAL,FINE_ARTS_Scholarship _21/FAL,MAJOR_FIXED_21/FAL,RETURN_BIN_21/FAL,Role_21/FAL,SPORT_21/FAL,Sport_21/FAL,FINE_ART_Scholarship _22/SPR,CLASS_22/SPR,ALTCUM_GPA_22/SPR,FINE_ARTS_Scholarship _22/SPR,MAJOR_FIXED_22/SPR,RETURN_BIN_22/SPR,Role_22/SPR,SPORT_22/SPR,Sport_22/SPR,FINE_ART_Scholarship _22/FAL,CLASS_22/FAL,ALTCUM_GPA_22/FAL,FINE_ARTS_Scholarship _22/FAL,MAJOR_FIXED_22/FAL,RETURN_BIN_22/FAL,Role_22/FAL,SPORT_22/FAL,Sport_22/FAL,FINE_ART_Scholarship _23/SPR,CLASS_23/SPR,ALTCUM_GPA_23/SPR,FINE_ARTS_Scholarship _23/SPR,MAJOR_FIXED_23/SPR,RETURN_BIN_23/SPR,Role_23/SPR,SPORT_23/SPR,Sport_23/SPR,FINE_ART_Scholarship _23/FAL,CLASS_23/FAL,ALTCUM_GPA_23/FAL,FINE_ARTS_Scholarship _23/FAL,MAJOR_FIXED_23/FAL,RETURN_BIN_23/FAL,Role_23/FAL,SPORT_23/FAL,Sport_23/FAL,FINE_ART_Scholarship _24/SPR,CLASS_24/SPR,ALTCUM_GPA_24/SPR,FINE_ARTS_Scholarship _24/SPR,MAJOR_FIXED_24/SPR,RETURN_BIN_24/SPR,Role_24/SPR,SPORT_24/SPR,Sport_24/SPR,FINE_ART_Scholarship _24/FAL,CLASS_24/FAL,ALTCUM_GPA_24/FAL,FINE_ARTS_Scholarship _24/FAL,MAJOR_FIXED_24/FAL,RETURN_BIN_24/FAL,Role_24/FAL,SPORT_24/FAL,Sport_24/FAL,FINE_ART_Scholarship _25/SPR,CLASS_25/SPR,ALTCUM_GPA_25/SPR,FINE_ARTS_Scholarship _25/SPR,MAJOR_FIXED_25/SPR,RETURN_BIN_25/SPR,Role_25/SPR,SPORT_25/SPR,Sport_25/SPR,ETHNICITY,RACE,RACE2,RACE3,GENDER,BIRTH_DATE,START_TERM,FIRST_GEN,RETURN?,RETURN_BIN,CONDITIONAL_ADMITS,PELL,ADMIT_STATUS,STA_FED_COHORT_GROUP,STATE,GRADS,PRIMARY_MAJOR,Membrshp Start Dt,Membrshp End Dt,years_org,SPORT_COUNT,INSTATE,RETENTION_BIN,INSTATE_BIN,PERSISTANCE_SO_JR_BIN,PERSISTANCE_JR_SR_BIN,ETHNICITY_BIN,RACE_BIN,GENDER_BIN,CONDITIONAL_ADMITS_BIN,FOOTBALL_BIN,FINAL_GPA
682,NO,UGND,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,9/12/1952,18/FAL,NO,Left,1,NO,NO,TR,,NE,,,,,,0,In State,0,0,0,0,0,0,1,0,0,0
750,NO,UGND,0,,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,FR,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,,UGND,0,NO,,0,,,,NHS,WH,,,F,9/6/1951,19/FAL,NO,Returns,0,NO,NO,NT,,NE,,,,,,0,In State,0,0,0,0,0,0,1,0,0,0
11501,NO,UGND,3.796,,,0,,,,,UGND,3.796,NO,,0,,,,,UGND,3.796,NO,,0,,,,,UGND,3.796,NO,,0,,,,,UGND,3.796,NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,3/29/1949,03/WIN2,NO,Left,1,NO,NO,NT,,NE,,,,,,0,In State,0,0,0,0,0,0,1,0,0,3.796
121057,NO,SR,3.679,,MUS,0,,,,,SR,3.708,NO,MUS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,AS,WH,,F,11/23/1997,16/FAL,NO,Graduated,0,NO,YES,FR,16-17,NE,YES,MUS,,,,0,In State,0,0,0,0,0,0,1,0,0,3.708
121060,NO,SO,2.891,,ACC,0,,,,,SO,2.988,NO,ACC,0,,,,,JR,2.857,NO,ACC,0,,,,,JR,2.749,NO,ACC,0,,,,,SR,2.572,NO,BUS,0,,,,,SR,2.703,NO,BUS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,9/5/1999,18/FAL,NO,Graduated,0,NO,NO,FR,18-19,NE,YES,BUS,,,,0,In State,0,0,1,1,0,0,0,0,0,2.703
121400,NO,FR,0,,UND,0,Member,AMBB,M Basketball,,FR,3.2,NO,CSI,0,Member,AMBB,M Basketball,,SO,3.367,NO,CSI,0,Member,AMBB,M Basketball,,SO,3.061,NO,CSI,0,Member,AMBB,M Basketball,,JR,3.125,NO,CSI,0,Member,AMBB,M Basketball,,JR,3.058,NO,CSI,0,Member,AMBB,M Basketball,,SR,2.96,NO,CSI,0,Member,AMBB,M Basketball,,SR,3.006,NO,CSI,1,Member,AMBB,M Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,10/25/2000,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,CSI,9/1/2019,5/1/2021,1.67,1,In State,1,0,1,1,0,0,0,0,0,3.006
121915,NO,UGND,3.049,,CSI,0,,,,,UGND,3.079,NO,CSI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,9/28/1991,10/FAL,NO,Left,1,NO,NO,FR,10-11,NE,,CSI,,,,0,In State,0,0,0,0,0,0,0,0,0,3.079
150666,NO,SO,3.936,,MUS,0,,,,,SO,3.929,NO,MUS,0,,,,,JR,3.91,YES,MUS,0,,,,,JR,3.888,YES,MUS,0,,,,,SR,3.906,YES,MUS,0,,,,,SR,3.857,YES,MUS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,10/22/1999,18/FAL,NO,Graduated,0,NO,NO,FR,18-19,NE,YES,MUS,,,,0,In State,0,0,1,1,0,0,1,0,0,3.857
159436,NO,SO,0,,UND,0,,,,,JR,3.871,NO,UND,0,,,,,JR,3.834,NO,UND,0,,,,,JR,3.711,NO,HSI,0,,,,,SR,3.707,NO,HSI,0,,,,,SR,3.711,NO,HSI,0,,,,,SR,3.729,NO,HSI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,7/16/2000,19/FAL,NO,Graduated,0,NO,NO,FR,19-20,NE,YES,HSI,,,,0,In State,0,0,1,1,0,0,1,0,0,3.729
189183,NO,JR,3.29,,HHP,0,Member,AWXC,W Cross Country,,JR,3.397,NO,HHP,0,Member,AWXC,W Cross Country,,SR,3.515,NO,HHP,0,Member,AWXC,W Cross Country,,SR,3.559,NO,HHP,1,Member,AWXC,W Cross Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,4/19/1999,17/FAL,NO,Graduated,0,NO,NO,FR,17-18,NE,YES,HHP,8/1/2017,5/1/2021,3.75,1,In State,0,0,0,1,0,0,1,0,0,3.559
