ID,ETHNICITY,RACE,RACE2,RACE3,GENDER,BIRTH_DATE,START_TERM,FINE_ART_Scholarship,FIRSTGN.,CONDITIONAL_ADMITS,PELL,CLASS,ADMIT_STATUS,Self-identified gender of the student.,TERM,ALTCUM_GPA,STA_FED_COHORT_GROUP,STATE,GRADS,FINE_ARTS_Scholarship,FIRSTGN,PRIMARY_MAJOR,RETURN?,FIRST_GEN,MAJOR_FIXED,RETURN_BIN,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,Sport
682,NHS,WH,,,F,9/12/1952,18/FAL,NO,NO,NO,NO,UGND,TR,,19/FAL,0,,NE,,,,,Finished,NO,,1,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,NO,NO,NO,NO,UGND,TR,,19/FAL,0,,,,,,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,NO,NO,NO,UGND,TR,,20/SPR,0,,NE,,NO,,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,NT,,20/FAL,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,21/SPR,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,21/FAL,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,22/SPR,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,FR,,,22/FAL,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,23/SPR,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,23/FAL,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,24/SPR,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,24/FAL,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
750,NHS,WH,,,F,9/6/1951,19/FAL,,,NO,NO,UGND,,,25/SPR,0,,NE,,NO,NO,,Returns,NO,,0,,,,,,
1515,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1517,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1620,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1656,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1738,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1775,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1779,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1955,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
1987,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2009,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2138,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2161,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2176,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2286,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2308,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2414,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2424,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2435,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2452,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2503,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2532,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
2547,,,,,,,,,,,,,,,,,,,,,,,Finished,,,1,8/16/2004,,,ATRN,,Athletic Trainers
11501,NHS,WH,,,F,3/29/1949,03/WIN2,NO,NO,NO,NO,UGND,TR,,19/FAL,3.796,,NE,,,,,Returns,NO,,0,,,,,,
11501,NHS,WH,,,F,3/29/1949,03/WIN2,,NO,NO,NO,UGND,TR,,20/SPR,3.796,,NE,,NO,,,Returns,NO,,0,,,,,,
